"Pertanyaan","Pilihan 1","Pilihan 2","Pilihan 3","Pilihan 4","Kunci Jawaban","URL"
"Apa penyebab utama Belanda ingin menguasai Aceh pada abad ke-19?","Kekayaan budaya Aceh","Posisi strategis Aceh sebagai pusat perdagangan","Kekuatan militer Aceh","Hubungan diplomatik Aceh dengan Inggris",2,"https://www.cnnindonesia.com/edukasi/20230124150100-569-904261/sejarah-perang-aceh-penyebab-tokoh-hingga-akhir-perlawanan#goog_rewarded"
"Apa nama perjanjian yang awalnya mencegah Belanda untuk menguasai Aceh?","Traktat Sumatera","Perjanjian Giyanti","Traktat London","Konvensi Malaka",3,"https://www.cnnindonesia.com/edukasi/20230124150100-569-904261/sejarah-perang-aceh-penyebab-tokoh-hingga-akhir-perlawanan#goog_rewarded"
"Siapa pemimpin Belanda yang tewas dalam pertempuran di Masjid Raya Baiturrahman?","Letnan Jenderal J. van Swieten","Mayor Jenderal J.H.R Kohler","Kolonel J.B. van Heutsz","Dr. Snouck Hurgronje",2,"https://www.cnnindonesia.com/edukasi/20230124150100-569-904261/sejarah-perang-aceh-penyebab-tokoh-hingga-akhir-perlawanan#goog_rewarded"
"Strategi apa yang diterapkan Teuku Umar dan Cut Nyak Dien dalam melawan Belanda?","Politik Devide et Impera","Konsentrasi Stelsel","Serangan Balik Massal","Taktik Gerilya",2,"https://www.cnnindonesia.com/edukasi/20230124150100-569-904261/sejarah-perang-aceh-penyebab-tokoh-hingga-akhir-perlawanan#goog_rewarded"
"Siapa tokoh yang diasingkan oleh Belanda dan wafat pada tahun 1908 setelah perjuangannya melawan penjajah?","Cut Nyak Dien","Cut Nyak Meutia","Panglima Polem","Sultan Mahmud Syah II",1,"https://www.cnnindonesia.com/edukasi/20230124150100-569-904261/sejarah-perang-aceh-penyebab-tokoh-hingga-akhir-perlawanan#goog_rewarded"
"Apa peran Dr. Snouck Hurgronje dalam perang Aceh?","Memimpin pasukan Belanda","Memberi masukan strategi untuk mengalahkan Aceh","Menjadi penengah dalam perundingan damai","Melatih pejuang Aceh",2,"https://www.cnnindonesia.com/edukasi/20230124150100-569-904261/sejarah-perang-aceh-penyebab-tokoh-hingga-akhir-perlawanan#goog_rewarded"
"Kapan secara resmi perang Aceh dinyatakan berakhir?","Tahun 1908","Tahun 1900","Tahun 1910","Tahun 1912",3,"https://www.cnnindonesia.com/edukasi/20230124150100-569-904261/sejarah-perang-aceh-penyebab-tokoh-hingga-akhir-perlawanan#goog_rewarded"
"Apa gelar lain yang diberikan kepada Sisingamangaraja XII?","Ompu Raja Simamora","Pantuan Besar Ompu Pulo Batu","Raja Batak Merdeka","Pendeta Agung Batak",2,"https://www.detik.com/sumut/budaya/d-7087696/kisah-sisingamangaraja-xii-kegigihan-mengusir-belanda-dari-tanah-batak"
"Apa prinsip utama yang dipegang oleh Sisingamangaraja XII dalam perjuangannya melawan penjajah?","Mengutamakan perdamaian dengan Belanda","Lebih baik mati daripada tunduk kepada penjajah","Menyebarkan agama kepada masyarakat","Menghindari peperangan dengan strategi damai",2,"https://www.detik.com/sumut/budaya/d-7087696/kisah-sisingamangaraja-xii-kegigihan-mengusir-belanda-dari-tanah-batak"
"Apa penyebab utama perang antara Sisingamangaraja XII dan Belanda?","Belanda ingin menguasai Tapanuli dengan misi menyebarkan agama kristiani","Konflik antara masyarakat Batak dan masyarakat luar","Perselisihan terkait pembagian hasil bumi di Tapanuli","Invasi mendadak oleh pasukan Jepang",1,"https://www.detik.com/sumut/budaya/d-7087696/kisah-sisingamangaraja-xii-kegigihan-mengusir-belanda-dari-tanah-batak"
"Kapan Sisingamangaraja XII pertama kali menyerang Belanda di Bahal Batu?","Tahun 1875","Tahun 1878","Tahun 1880","Tahun 1904",2,"https://www.detik.com/sumut/budaya/d-7087696/kisah-sisingamangaraja-xii-kegigihan-mengusir-belanda-dari-tanah-batak"
"Apa strategi utama yang digunakan Sisingamangaraja XII dalam melawan Belanda?","Politik diplomasi","Perang terbuka","Gerilya","Serangan mendadak di laut",3,"https://www.detik.com/sumut/budaya/d-7087696/kisah-sisingamangaraja-xii-kegigihan-mengusir-belanda-dari-tanah-batak"
"Di mana Sisingamangaraja XII dan pasukannya bertarung sengit dengan pasukan Belanda pada tahun 1907?","Balige","Bahal Batu","Si Onom Hudon Dairi","Bakkara",3,"https://www.detik.com/sumut/budaya/d-7087696/kisah-sisingamangaraja-xii-kegigihan-mengusir-belanda-dari-tanah-batak"
"Apa jenis senjata tradisional yang digunakan oleh pasukan Sisingamangaraja XII?","Meriam kecil dan busur panah","Pedang dan senapan api","Tombak, busur, parang, dan sumpit beracun","Ketapel besar dan batu peledak",3,"https://www.detik.com/sumut/budaya/d-7087696/kisah-sisingamangaraja-xii-kegigihan-mengusir-belanda-dari-tanah-batak"
"Berapa lama perjuangan Sisingamangaraja XII melawan penjajahan Belanda berlangsung?","20 tahun","25 tahun","30 tahun","35 tahun",3,"https://www.detik.com/sumut/budaya/d-7087696/kisah-sisingamangaraja-xii-kegigihan-mengusir-belanda-dari-tanah-batak"
"Apa alasan utama VOC memilih Batavia sebagai markas besarnya di Hindia Belanda?","Karena lokasinya di tengah Pulau Jawa","Karena dekat dengan pusat kerajaan Mataram","Karena posisi strategisnya di pesisir barat laut Jawa","Karena kekayaan sumber daya alam di sekitarnya",3,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Apa keuntungan geografis dari Batavia bagi VOC?","Memiliki pegunungan tinggi","Dekat dengan pelabuhan besar dan Selat Sunda","Dikelilingi oleh gurun yang luas","Terletak jauh dari jalur perdagangan utama",2,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Apa fungsi pelabuhan alami di Batavia bagi VOC?","Sebagai tempat rekreasi bagi pelaut","Sebagai pusat perdagangan rempah-rempah dan distribusi logistik","Sebagai pusat pelatihan militer","Sebagai tempat penyimpanan hasil tambang",2,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Apa tujuan utama VOC membangun benteng di sekitar Batavia?","Untuk menyimpan rempah-rempah","Untuk melindungi Batavia dari serangan musuh","Untuk menarik pedagang dari luar negeri","Untuk memamerkan kekuatan arsitektur VOC",2,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Apa peran Batavia selain sebagai pusat perdagangan?","Pusat pendidikan dan pelatihan","Pusat pemerintahan dan diplomasi","Pusat penelitian ilmiah","Pusat wisata budaya",2,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Apa dampak keberagaman etnis di Batavia bagi perkembangannya?","Terjadinya konflik berkepanjangan","Munculnya perpaduan budaya yang unik","Berkurangnya aktivitas perdagangan","Meningkatnya ketergantungan pada negara asing",2,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Apa dampak negatif kolonialisme VOC di Hindia Belanda?","Kemajuan ekonomi yang merata","Eksploitasi sumber daya alam dan penindasan rakyat","Peningkatan kualitas pendidikan lokal","Perbaikan hubungan antar kerajaan lokal",2,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Siapa yang berkantor di pusat pemerintahan VOC di Batavia?","Para pedagang lokal","Para gubernur jenderal dan petinggi VOC","Para raja dari kerajaan lokal","Para pelaut asing",2,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Apa yang menjadi simbol kekuatan VOC di Hindia Belanda?","Benteng besar di Batavia","Kapal dagang VOC","Kota Batavia sebagai pusat kekuasaan","Monumen kolonial di pelabuhan",3,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Apa faktor utama yang menjadikan Batavia pusat perdagangan Asia?","Letaknya yang dekat dengan India dan Cina","Ketersediaan rempah-rempah di Batavia","Keramahan penduduk lokal","Teknologi maju VOC",1,"https://intisari.grid.id/read/034109114/batavia-jantung-kekuasaan-kolonial-voc-di-hindia-belanda"
"Siapa yang memimpin pasukan AFNEI yang tiba di Surabaya pada tanggal 25 Oktober 1945?","Brigadir Jenderal Aubertin Walter Sothern Mallaby","Letnan Jenderal Philip Christison","Mayor Jenderal Hawthorn","Gubernur Jawa Timur Suryo",1,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
"Apa tujuan kedatangan pasukan sekutu di Surabaya setelah kemerdekaan Indonesia?","Mengamankan tawanan perang","Mengambil alih Surabaya","Melucuti senjata tentara Jepang","Mendirikan pos pertahanan",3,"https://www.gramedia.com/literasi/sejarah-pertempuran-surabaya/#google_vignette"
